book_id,Book,Author(s),Original language,First published,Approximate sales (in millions),Price
139,Fifty Shades Darker,E. L. James,English,2012,10.4,54.46
140,"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10,58.1
141,The Cat in the Hat,Dr. Seuss,English,1957,10.5,45.38
142,Diana: Her True Story,Andrew Morton,English,1992,10,57.2
143,The Help,Kathryn Stockett,English,2009,10,57.9
144,Catch-22,Joseph Heller,English,1961,10,52.1
145,The Stranger (L'etranger),Albert Camus,French,1942,10,49.2
146,Eye of the Needle,Ken Follett,English,1978,10,51.8
147,The Lovely Bones,Alice Sebold,English,2002,10,53.2
148,Wild Swans,Jung Chang,English,1992,10,51.2
149,Santa Evita,Tomas Eloy Martinez,Spanish,1995,10,50.5
150,Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10,45.8
151,Confucius from the Heart,Yu Dan,Chinese,2006,10,49.6
152,The Total Woman,Marabel Morgan,English,1974,10,45.4
153,Knowledge-value Revolution,Taichi Sakaiya,Japanese,1985,10,45.5
154,Problems in China's Socialist Economy,Xue Muqiao,Chinese,1979,10,43.9
155,What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10,42
156,The Dukan Diet,Pierre Dukan,French,2000,10,44
157,The Joy of Sex,Alex Comfort,English,1972,10,40.2
158,The Gospel According to Peanuts,Robert L. Short,English,1965,10,38.5
159,Life of Pi,Yann Martel,English,2001,10,41.1
160,The Giver,Lois Lowry,English,1993,10,39.3
161,The Front Runner,Patricia Nell Warren,English,1974,10,36.4
162,The Goal,Eliyahu M. Goldratt,English,1984,10,36.4
163,Fahrenheit 451,Ray Bradbury,English,1953,10,32.3
164,Angela's Ashes,Frank McCourt,English,1996,10,35.6
165,The Story of My Experiments with Truth,Mohandas Karamchand Gandhi,Gujarati,1925,10,12.5
